mark,model,description,fuel,km,year,gearbox,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad,price
VOLKSWAGEN,Tiguan,2.0 TDI 150ch BlueMotion Technology Carat,Diesel /,61 435 km,/ 2017 /,Manuelle,0,0,1,1,1,1,1,40 790 €
NISSAN,Juke,1.0 DIG-T 114ch Enigma DCT 2021.5,Essence /,38 106 km,/ 2021 /,Automatique,0,1,1,1,1,1,1,40 790 €
PEUGEOT,2008,1.2 PureTech 100ch S&S Style,Essence /,16 019 km,/ 2022 /,Manuelle,1,1,1,1,1,0,1,40 790 €
CITROEN,C4,PureTech 130ch S&S Shine EAT8,Essence /,21 000 km,/ 2021 /,Automatique,0,0,1,1,1,1,1,40 790 €
RENAULT,Captur,1.0 TCe 90ch Techno,Essence /,9 426 km,/ 2023 /,Manuelle,0,1,1,1,1,1,1,40 790 €
MERCEDES,Classe C Coupe,200 184ch Sportline 4Matic 9G-Tronic,Essence /,81 033 km,/ 2016 /,Automatique,1,1,1,1,1,0,1,40 790 €
CITROEN,Grand C4 Spacetourer,PureTech 130ch S&S Feel E6.d,Essence /,41 197 km,/ 2021 /,Manuelle,1,0,1,1,1,0,1,40 790 €
ALFA ROMEO,Tonale,1.5 Hybrid 130ch Sprint TCT,Essence M /,26 726 km,/ 2022 /,Automatique,0,1,1,1,1,0,1,40 790 €
MERCEDES,Classe A,250 e 160+102ch AMG Line 8G-DCT 8cv,Hybride R /,63 849 km,/ 2022 /,Automatique,0,1,1,1,1,1,1,33 990 €
RENAULT,Master,F3500 L3 2.3 Blue dCi 165ch Confort EuroVI Caisse Frigo 16m3,Diesel /,10 km,/ 2023 /,Manuelle,0,0,1,1,0,0,0,33 990 €
PEUGEOT,5008,1.5 BlueHDi 130ch S&S Allure Pack EAT8,Diesel /,9 496 km,/ 2023 /,Automatique,0,1,1,1,1,1,1,33 990 €
MERCEDES,Gla,180 122ch Sensation 7G-DCT Euro6d-T,Essence /,61 978 km,/ 2018 /,Automatique,1,1,1,1,1,1,0,33 990 €
PEUGEOT,2008,1.2 PureTech 110ch Allure S&S,Essence /,94 447 km,/ 2018 /,Manuelle,1,1,1,0,1,0,1,33 990 €
FORD,Focus,1.0 EcoBoost 125ch mHEV ST-Line,Essence M /,40 775 km,/ 2020 /,Manuelle,0,0,1,1,1,1,1,33 990 €
RENAULT,Clio,1.0 TCe 90ch Techno,Essence /,13 673 km,/ 2023 /,Manuelle,0,1,1,1,1,1,1,33 990 €
PEUGEOT,308,PHEV 180ch Allure Pack e-EAT8,Hybride R /,15 000 km,/ 2022 /,Automatique,1,1,1,0,1,1,1,33 990 €
PEUGEOT,208,1.5 BlueHDi 100ch E6.c Signature BVM5 86g 5p,Diesel /,41 212 km,/ 2019 /,Manuelle,1,0,1,0,0,0,1,33 990 €
RENAULT,Clio,1.6 E-Tech hybride 140ch Business -21N,Hybride /,65 334 km,/ 2022 /,Automatique,1,1,1,1,0,0,1,33 990 €
RENAULT,Clio,1.3 TCe 140ch Techno,Essence /,9 214 km,/ 2023 /,Manuelle,0,1,1,1,1,1,1,33 990 €
CITROEN,Grand C4 Spacetourer,PureTech 130ch S&S Feel E6.d,Essence /,16 705 km,/ 2021 /,Manuelle,1,0,1,1,1,0,1,33 990 €
FORD,Kuga,2.5 Duratec 190ch FHEV E85 ST-Line BVA,Hybride /,49 024 km,/ 2022 /,Automatique,1,0,1,1,1,1,1,33 990 €
RENAULT,Arkana,1.6 E-Tech hybride 145ch Techno -22,Hybride /,9 999 km,/ 2023 /,Automatique,0,0,1,1,1,1,1,33 990 €
MERCEDES,Classe C All-Terrain,200 204ch 4Matic 9G-Tronic,Essence M /,18 448 km,/ 2022 /,Automatique,0,0,1,1,1,1,1,33 990 €
RENAULT,Clio,1.6 E-Tech 140ch Business,Hybride /,50 161 km,/ 2020 /,Automatique,1,1,1,1,0,0,1,33 990 €
CITROEN,C5 X,Hybride rechargeable 225ch Shine Pack ëEAT8,Hybride R /,31 546 km,/ 2023 /,Automatique,0,0,1,1,1,1,1,33 990 €
LAND-ROVER,Range Rover Evoque,2.0 P200 200ch Flex Fuel Dynamic HSE,Essence B /,10 000 km,/ 2024 /,Automatique,0,0,1,1,1,1,0,33 990 €
RENAULT,Zoe,Life charge normale R90 Achat Intégral MY19,Electrique /,17 685 km,/ 2019 /,Automatique,1,0,1,1,0,0,0,33 990 €
DACIA,Sandero,1.0 SCe 75ch Evasion,Essence /,43 645 km,/ 2021 /,Manuelle,1,0,1,1,0,0,0,33 990 €
AUDI,Q7,3.0 V6 TDI 373ch e-tron Avus quattro Tiptronic,Hybride R /,113 727 km,/ 2017 /,Automatique,0,0,1,1,1,1,1,33 990 €
OPEL,Crossland X,1.2 Turbo 110ch Design 120 ans Euro 6d-T,Essence /,62 099 km,/ 2019 /,Manuelle,1,0,1,1,1,0,1,33 990 €
DACIA,Sandero,1.0 ECO-G 100ch Stepway Extreme,Gpl /,9 500 km,/ 2024 /,Manuelle,1,1,1,1,1,1,1,33 990 €
CITROEN,C3,PureTech 82ch Graphic,Essence /,43 142 km,/ 2018 /,Manuelle,1,0,1,0,1,0,0,33 990 €
NISSAN,Qashqai,1.7 dCi 150ch Tekna 2019,Diesel /,87 102 km,/ 2019 /,Manuelle,0,1,1,1,1,1,1,33 990 €
LAND-ROVER,Range Rover Evoque,1.5 P300e 309ch Dynamic SE,Hybride R /,10 000 km,/ 2024 /,Automatique,0,1,1,1,1,1,0,33 990 €
LAND-ROVER,Range Rover Velar,2.0 P400e 404ch PHEV Dynamic HSE AWD BVA,Hybride R /,10 000 km,/ 2024 /,Automatique,0,0,1,1,1,1,1,33 990 €
PEUGEOT,208,e-208 136ch Allure,Electrique /,43 704 km,/ 2020 /,Automatique,1,1,1,1,1,0,1,33 990 €
PEUGEOT,5008,1.5 BlueHDi 130ch S&S Active Pack EAT8,Diesel /,27 659 km,/ 2022 /,Automatique,1,1,1,1,1,1,1,33 990 €
VOLKSWAGEN,T-Roc,2.0 TDI 150ch First Edition 4Motion DSG7,Diesel /,111 289 km,/ 2018 /,Automatique,1,1,1,1,1,0,1,33 990 €
MERCEDES,Classe A,250 e 160+102ch Progressive Line 8G-DCT 8cv,Hybride R /,65 744 km,/ 2020 /,Automatique,0,0,1,1,1,1,1,27 799 €
RENAULT,Megane,1.5 Blue dCi 115ch Intens,Diesel /,69 650 km,/ 2020 /,Manuelle,0,1,1,1,1,1,1,27 799 €
PEUGEOT,208,1.2 PureTech 75ch S&S Like,Essence /,65 354 km,/ 2020 /,Manuelle,1,0,1,1,0,0,0,27 799 €
PEUGEOT,2008,1.2 PureTech 130ch E6.c GT Line S&S,Essence /,66 793 km,/ 2018 /,Manuelle,1,1,1,0,1,0,1,27 799 €
RENAULT,Clio,1.0 TCe 100ch Evolution GPL,Gpl /,11 398 km,/ 2023 /,Manuelle,1,1,1,1,0,0,1,27 799 €
NISSAN,Qashqai,1.2 DIG-T 115ch N-Connecta,Essence /,51 479 km,/ 2017 /,Manuelle,1,0,1,1,1,1,1,27 799 €
CITROEN,C5 Aircross,BlueHDi 130ch S&S Shine E6.d,Diesel /,43 601 km,/ 2021 /,Manuelle,0,1,1,1,1,0,1,27 799 €
TOYOTA,Corolla,1.8 140ch Design MY23,Hybride /,17 214 km,/ 2023 /,Automatique,1,1,1,1,1,1,0,27 799 €
CITROEN,C3,1.2 PureTech 110ch S&S Shine Business 121g,Essence /,22 702 km,/ 2021 /,Manuelle,0,0,1,1,1,0,1,27 799 €
PEUGEOT,2008,1.2 PureTech 130ch S&S Allure,Essence /,34 957 km,/ 2020 /,Manuelle,1,1,1,1,1,0,1,27 799 €
DS,Ds 7 Crossback,E-TENSE 4x4 300ch Louvre,Hybride R /,64 732 km,/ 2021 /,Automatique,1,0,0,0,1,1,0,27 799 €
VOLKSWAGEN,Tiguan,2.0 TDI 150ch Carat 4Motion DSG7 Euro6d-T,Diesel /,95 000 km,/ 2019 /,Automatique,0,0,1,1,1,1,1,27 799 €
RENAULT,Arkana,1.6 E-Tech hybride 145ch RS Line Fast Track,Hybride /,19 359 km,/ 2022 /,Automatique,0,0,1,1,1,1,1,27 799 €
CITROEN,C3 Aircross,PureTech 110ch S&S Feel,Essence /,35 438 km,/ 2021 /,Manuelle,1,1,1,1,0,0,0,27 799 €
RENAULT,Clio,1.0 TCe 90ch Evolution,Essence /,7 851 km,/ 2023 /,Manuelle,1,1,1,1,0,0,1,27 799 €
CITROEN,Berlingo Van,M 650kg BlueHDi 100 S&S Driver,Diesel /,39 716 km,/ 2022 /,Manuelle,0,0,1,1,0,1,1,27 799 €
RENAULT,Captur,1.3 TCe 155ch FAP Initiale Paris EDC,Essence /,62 111 km,/ 2020 /,Automatique,0,0,1,1,1,1,1,27 799 €
PEUGEOT,208,1.2 PureTech 100ch S&S Style,Essence /,11 349 km,/ 2023 /,Manuelle,1,1,1,1,0,0,1,27 799 €
PEUGEOT,5008,2.0 BlueHDi 180ch S&S GT EAT8,Diesel /,93 868 km,/ 2018 /,Automatique,0,1,1,1,1,0,1,27 799 €
VOLKSWAGEN,Transporter,2.8T L1H1 2.0 TDI 110ch Business Plus,Diesel /,10 000 km,/ 2023 /,Manuelle,0,0,1,1,1,0,1,27 799 €
PEUGEOT,208,1.2 PureTech 82ch Allure 5p,Essence /,61 694 km,/ 2018 /,Manuelle,1,0,1,0,1,0,1,27 799 €
OPEL,Grandland X,1.2 Turbo 130ch Ultimate BVA8,Essence /,40 931 km,/ 2021 /,Automatique,0,0,1,1,1,1,1,27 799 €
MERCEDES,Glb,200d 150ch AMG Line 8G DCT,Diesel /,13 416 km,/ 2022 /,Automatique,0,1,1,1,1,1,1,27 799 €
RENAULT,Arkana,1.3 TCe mild hybrid 160ch RS Line EDC -22,Essence M /,6 872 km,/ 2022 /,Automatique,0,0,1,1,1,1,1,27 799 €
LAND-ROVER,Range Rover Evoque,2.0 P 200ch Flex Fuel R-Dynamic SE AWD BVA Mark III,Essence B /,10 000 km,/ 2024 /,Automatique,0,1,1,1,1,1,1,27 799 €
RENAULT,Kadjar,1.5 dCi 110ch energy Intens eco²,Diesel /,101 806 km,/ 2017 /,Manuelle,0,1,1,1,1,1,1,27 799 €
RENAULT,Captur,1.0 TCe 90ch Techno,Essence /,5 739 km,/ 2023 /,Manuelle,0,1,1,1,1,1,1,27 799 €
RENAULT,Clio,1.0 TCe 100ch Intens GPL -21,Gpl /,32 222 km,/ 2021 /,Manuelle,1,1,1,1,1,0,1,27 799 €
PEUGEOT,Partner Tepee,1.2 PureTech Style S&S,Essence /,98 721 km,/ 2018 /,Manuelle,1,0,1,1,0,0,0,27 799 €
CITROEN,C5 Aircross,BlueHDi 130ch S&S Shine Pack EAT8 E6.d,Diesel /,79 631 km,/ 2021 /,Automatique,1,1,1,1,1,0,1,27 799 €
BMW,Ix,xDrive50 523ch,Electrique /,29 395 km,/ 2022 /,Automatique,0,0,1,1,1,1,1,70 900 €
VOLKSWAGEN,Polo,1.0 TSI 95ch Style DSG7,Essence /,12 311 km,/ 2023 /,Automatique,0,1,1,1,1,1,1,70 900 €
RENAULT,Kangoo,1.5 Blue dCi 115ch Techno EDC,Diesel /,4 177 km,/ 2023 /,Automatique,0,1,1,1,1,1,1,70 900 €
MERCEDES,Classe C Break,200 d 160ch AMG Line 9G-Tronic,Diesel /,79 237 km,/ 2020 /,Automatique,0,0,1,1,1,1,1,70 900 €
TOYOTA,Proace City,Electric Long 50 kWh Business,Electrique /,10 km,/ 2023 /,Automatique,0,0,1,1,1,1,1,70 900 €
RENAULT,Arkana,1.3 TCe 140ch FAP Zen EDC,Essence M /,14 177 km,/ 2021 /,Automatique,1,1,1,1,1,1,1,70 900 €
PEUGEOT,308,PHEV 180ch Allure e-EAT8,Hybride R /,28 643 km,/ 2023 /,Automatique,1,1,1,0,1,1,1,70 900 €
BMW,X3,xDrive30eA 292ch M Sport 10cv,Hybride R /,64 422 km,/ 2020 /,Automatique,0,1,1,1,1,0,1,70 900 €
CITROEN,C4 Spacetourer,PureTech 130ch S&S Rip Curl E6.d-TEMP,Essence /,82 418 km,/ 2018 /,Manuelle,1,0,1,1,1,0,1,70 900 €
VOLKSWAGEN,Id.3,204ch Pro Performance 58 kWh Style,Electrique /,6 990 km,/ 2023 /,Automatique,0,1,1,1,1,1,1,70 900 €
PEUGEOT,208,1.2 PureTech 100ch S&S Active Pack,Essence /,12 973 km,/ 2022 /,Manuelle,1,0,1,1,0,0,1,70 900 €
MERCEDES,Glc,300 de 194+122ch AMG Line 4Matic 9G-Tronic,Hybride R /,93 002 km,/ 2021 /,Automatique,1,0,1,1,1,1,1,70 900 €
MERCEDES,Classe C,200 d 160ch AMG Line 9G-Tronic,Diesel /,25 437 km,/ 2021 /,Automatique,0,1,1,1,1,1,1,70 900 €
PEUGEOT,5008,1.5 BlueHDi 130ch S&S GT EAT8,Diesel /,10 000 km,/ 2023 /,Automatique,0,1,1,1,1,1,1,70 900 €
DACIA,Spring,Business 2020,Electrique /,78 026 km,/ 2020 /,Automatique,1,0,0,1,0,0,1,70 900 €
PEUGEOT,208,1.2 PureTech 75ch S&S Active Pack,Essence /,19 051 km,/ 2022 /,Manuelle,1,0,1,1,0,0,1,70 900 €
CITROEN,C3,PureTech 110ch Shine S&S EAT6 E6.d,Essence /,98 286 km,/ 2019 /,Automatique,1,0,1,0,1,0,1,70 900 €
VOLKSWAGEN,Polo,1.0 TSI 95ch Life,Essence /,16 187 km,/ 2022 /,Manuelle,1,1,1,1,0,0,1,70 900 €
CITROEN,C4,PureTech 130ch S&S Feel Pack Business EAT8,Essence /,62 626 km,/ 2021 /,Automatique,0,0,1,1,1,1,1,70 900 €
FORD,C-Max,1.0 EcoBoost 125ch Stop&Start Titanium Euro6.2,Essence /,14 305 km,/ 2019 /,Manuelle,1,0,1,1,1,1,1,70 900 €
RENAULT,Captur,1.3 TCe 140ch FAP Intens EDC -21,Essence M /,40 930 km,/ 2021 /,Automatique,1,1,1,1,1,0,1,70 900 €
PEUGEOT,2008,1.2 PureTech 110ch Allure S&S,Essence /,78 801 km,/ 2015 /,Manuelle,1,1,1,1,1,0,0,70 900 €
DACIA,Spring,Business 2020 - Achat Intégral,Electrique /,26 446 km,/ 2021 /,Automatique,1,0,0,1,0,0,1,70 900 €
PEUGEOT,2008,1.2 PureTech 100ch S&S Allure Pack,Essence /,10 456 km,/ 2022 /,Manuelle,1,1,1,1,1,0,1,70 900 €
